customer_id,age,gender,income,occupation,city,tenure_years,avg_balance,monthly_deposits,monthly_withdrawals,digital_txn_ratio,card_limit,utilization_ratio,delinquency_12m,loan_type,monthly_emi,overdue_flag,mf_investment,fd_amount,insurance_policy,shopping_spend,travel_spend,utility_spend,wallet_spend,total_spend_6m,has_credit_card,has_loan,has_investments,spend_to_income,emi_to_income,high_credit_util,digital_engagement_score,txn_activity_score,total_investments,wealth_tier,risk_flag,risk_score,product_count,cluster_kmeans,cluster_gmm
1,59,Male,800000,Salaried,Danieltown,15,92515.92,1,9,0.57,200000.0,0.85,0.0,0,0.0,0.0,0.0,0.0,0.0,38258,39447,14452,19085,111242,1,0,0,0.1390523261845922,0.0,1,0.3686666666666666,10,0.0,Low,0,2.0,1,2,2
2,63,Female,800000,Self-Employed,Littleberg,7,138097.4,13,16,0.48,50000.0,0.3,0.0,Auto,4186.0,0.0,19949.0,100000.0,1.0,58169,37562,15177,15296,126204,1,1,1,0.1577548028064964,0.0627890581641275,0,0.6346666666666667,29,119949.0,Medium,0,0.0,3,2,3
3,39,Male,200000,Self-Employed,Markview,11,124329.4,14,8,0.24,300000.0,0.76,0.0,Home,28373.0,0.0,0.0,0.0,0.0,54844,38570,18502,17953,129869,1,1,0,0.6493417532912336,1.7022778633282,1,0.5173333333333333,22,0.0,Low,0,2.0,2,1,0
4,44,Male,350000,Salaried,Lake Robertstad,8,156819.94,4,19,0.64,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34021,36571,14068,27019,111679,0,0,0,0.3190819454801558,0.0,0,0.4906666666666667,23,0.0,Low,0,0.0,0,0,3
5,44,Female,800000,Salaried,Delgadoburgh,2,93515.51,9,13,0.49,300000.0,0.21,0.0,Home,13738.0,0.0,93258.0,100000.0,1.0,52034,38914,11058,16331,118337,1,1,1,0.1479210650986686,0.206066908996365,0,0.534,22,193258.0,Medium,0,0.0,3,0,3
6,44,Male,800000,Salaried,South Laurieberg,6,174745.37,12,14,0.56,300000.0,0.93,0.0,0,0.0,0.0,0.0,0.0,0.0,35786,22973,18157,35797,112713,1,0,0,0.1408910738861576,0.0,1,0.6560000000000001,26,0.0,Low,0,2.0,1,2,2
7,22,Male,350000,Self-Employed,Craigmouth,1,95855.29,2,19,0.34,0.0,0.0,0.0,Auto,29812.0,0.0,0.0,0.0,0.0,54030,44184,18177,15339,131730,0,1,0,0.3763703532275622,1.0220906711769882,0,0.2573333333333333,21,0.0,Low,0,0.0,1,1,3
8,32,Male,500000,Self-Employed,West John,12,77579.97,6,16,0.92,200000.0,0.26,0.0,Personal,11327.0,0.0,0.0,0.0,0.0,26593,28573,13083,28665,96914,1,1,0,0.1938276123447753,0.2718414758045807,0,0.7120000000000001,22,0.0,Low,0,0.0,2,0,3
9,45,Female,350000,Self-Employed,Lake Anita,10,122198.78,11,8,0.34,0.0,0.0,0.0,Home,28938.0,1.0,0.0,0.0,0.0,47132,34659,8021,32743,122555,0,1,0,0.3501561424110216,0.9921259842519684,0,0.4973333333333333,19,0.0,Low,1,3.0,1,1,0
10,48,Female,1800000,Student,Rodriguezborough,15,72660.6,11,8,0.51,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70166,30790,12578,14960,128494,0,0,0,0.0713855158969356,0.0,0,0.5993333333333333,19,0.0,Low,0,0.0,0,0,1
11,64,Male,500000,Self-Employed,Hannahberg,3,130218.55,5,19,0.73,200000.0,0.79,0.0,Auto,39171.0,0.0,121350.0,50000.0,1.0,53932,19530,13995,17676,105133,1,1,1,0.210265579468841,0.9400814380454868,1,0.5713333333333334,24,171350.0,Medium,0,2.0,3,2,0
12,57,Female,500000,Student,Port Yesenia,9,58761.29,14,16,0.74,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43677,32684,16474,12606,105441,0,0,0,0.2108815782368435,0.0,0,0.8173333333333334,30,0.0,Low,0,0.0,0,0,3
13,59,Female,200000,Self-Employed,Victorfurt,14,96541.64,3,18,0.68,300000.0,0.85,0.0,0,0.0,0.0,85085.0,200000.0,1.0,38464,46438,17705,23646,126253,1,0,1,0.6312618436907815,0.0,1,0.488,21,285085.0,High,0,2.0,2,2,2
14,29,Male,200000,Student,West Gwendolyn,2,60176.97,9,12,0.21,100000.0,0.21,0.0,Personal,10419.0,0.0,0.0,0.0,0.0,44355,36284,13960,31775,126374,1,1,0,0.6318668406657967,0.625102493850369,0,0.366,21,0.0,Low,0,0.0,2,1,3
15,40,Male,350000,Salaried,Juliashire,7,159011.34,12,6,0.4,300000.0,0.92,0.0,0,0.0,0.0,0.0,0.0,0.0,53572,32845,17552,22030,125999,1,0,0,0.3599961142968162,0.0,1,0.56,18,0.0,Low,0,2.0,1,2,2
16,64,Female,500000,Salaried,Barkerhaven,15,66415.0,13,14,0.41,300000.0,0.68,0.0,Home,28539.0,0.0,81501.0,100000.0,0.0,50374,35592,16529,24581,127076,1,1,1,0.2541514916970166,0.6849195619305137,0,0.5926666666666667,27,181501.0,Medium,0,0.0,3,2,3
17,55,Female,1200000,Student,Brandonborough,4,107735.75,8,13,0.51,0.0,0.0,0.0,0,0.0,0.0,179147.0,200000.0,1.0,43925,26401,19733,22565,112624,0,0,1,0.0938532551222874,0.0,0,0.5193333333333333,21,379147.0,High,0,0.0,1,0,3
18,60,Female,800000,Salaried,East Heatherberg,6,6045.44,12,7,0.7,0.0,0.0,0.0,0,0.0,0.0,173153.0,100000.0,0.0,46971,30509,23510,20826,121816,0,0,1,0.1522698096627379,0.0,0,0.74,19,273153.0,High,0,0.0,1,0,3
19,62,Female,500000,Salaried,Jessicafort,18,31030.7,9,13,0.78,0.0,0.0,0.0,0,0.0,0.0,54360.0,200000.0,0.0,34566,30141,9717,28872,103296,0,0,1,0.2065915868168263,0.0,0,0.708,22,254360.0,High,0,0.0,1,0,3
20,46,Female,500000,Salaried,Lake Jessica,10,2000.0,14,1,0.44,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,45596,36185,13887,23371,119039,0,0,0,0.2380775238449523,0.0,0,0.6373333333333333,15,0.0,Low,0,0.0,0,0,3
21,56,Female,500000,Student,Michaelfort,16,122153.05,14,3,0.55,0.0,0.0,0.0,Personal,18866.0,0.0,199378.0,50000.0,0.0,44313,38186,20435,28666,131600,0,1,1,0.2631994736010528,0.4527731334447973,0,0.7033333333333334,17,249378.0,High,0,0.0,2,0,3
22,35,Male,200000,Salaried,Haleyside,8,160560.21,10,2,0.71,200000.0,0.71,0.0,Personal,20138.0,0.0,0.0,0.0,0.0,49613,42670,15743,27492,135518,1,1,0,0.6775866120669397,1.2082075075495469,1,0.6926666666666667,12,0.0,Low,0,2.0,2,1,0
23,41,Male,350000,Self-Employed,Woodville,18,134216.77,8,7,0.59,0.0,0.0,0.0,Personal,36138.0,0.0,0.0,0.0,0.0,37605,29238,12557,29324,108724,0,1,0,0.3106391124596787,1.238974663725815,0,0.5673333333333334,15,0.0,Low,0,0.0,1,1,3
24,44,Female,350000,Salaried,East Dennis,13,2000.0,3,14,0.94,50000.0,0.44,1.0,0,0.0,0.0,0.0,0.0,0.0,59295,36833,22080,17791,135999,1,0,0,0.388567461235825,0.0,0,0.6439999999999999,17,0.0,Low,1,3.0,1,2,2
25,61,Male,350000,Salaried,Ruiztown,13,83818.94,3,1,0.54,300000.0,0.76,0.0,0,0.0,0.0,13591.0,100000.0,0.0,51496,27099,15324,16157,110076,1,0,1,0.3145019585658327,0.0,1,0.404,4,113591.0,Medium,0,2.0,2,2,2
26,21,Female,200000,Student,East Melissa,9,57693.26,3,9,0.2,200000.0,0.65,0.0,Home,24155.0,0.0,0.0,0.0,0.0,47261,38119,14890,32646,132916,1,1,0,0.6645766771166144,1.449213047217167,0,0.2,12,0.0,Low,0,0.0,2,1,0
27,44,Female,350000,Student,Port Emily,8,33618.22,8,5,0.99,0.0,0.0,0.0,Personal,35121.0,0.0,0.0,0.0,0.0,36925,33032,23151,24746,117854,0,1,0,0.3367247522149936,1.2041072877501342,0,0.8073333333333333,13,0.0,Low,0,0.0,1,1,3
28,44,Male,200000,Student,West Harrychester,19,27756.33,13,15,0.29,0.0,0.0,0.0,Home,37388.0,0.0,0.0,0.0,0.0,63640,27965,13666,22824,128095,0,1,0,0.6404717976410118,2.2431454112753237,0,0.5206666666666666,28,0.0,Low,0,0.0,1,1,0
29,37,Female,800000,Self-Employed,North Michelle,3,98964.09,14,18,0.41,0.0,0.0,0.0,Personal,34027.0,0.0,0.0,0.0,0.0,40129,36223,11314,15472,103138,0,1,0,0.1289223388470764,0.5103973440398394,0,0.6193333333333333,32,0.0,Low,0,0.0,1,0,3
30,53,Female,500000,Salaried,Port Katiefurt,10,46039.13,3,7,0.25,0.0,0.0,0.0,Auto,24480.0,0.0,34238.0,0.0,1.0,49113,24432,17720,29097,120362,0,1,1,0.2407235185529629,0.5875058998584034,0,0.23,10,34238.0,Low,0,0.0,2,0,3
31,59,Male,800000,Self-Employed,Jasonberg,7,70487.74,8,5,0.67,0.0,0.0,0.0,Personal,34129.0,0.0,0.0,0.0,0.0,60236,35485,14306,25702,135729,0,1,0,0.1696610379237026,0.5119273210901836,0,0.6153333333333334,13,0.0,Low,0,0.0,1,0,3
32,29,Male,500000,Retired,Patriciaville,2,24918.86,2,1,0.72,50000.0,0.31,0.0,0,0.0,0.0,0.0,0.0,0.0,42856,36331,16899,27001,123087,1,0,0,0.2461735076529847,0.0,0,0.4853333333333333,3,0.0,Low,0,0.0,1,0,3
33,53,Female,200000,Student,Gillfort,5,91462.17,2,17,0.63,0.0,0.0,0.0,Personal,36386.0,0.0,260495.0,0.0,0.0,58982,32357,14956,22822,129117,0,1,1,0.6455817720911395,2.1830290182589045,0,0.4313333333333333,19,260495.0,High,0,0.0,2,1,0
34,55,Male,500000,Student,South Edwinhaven,3,42418.08,7,10,0.65,200000.0,0.93,0.0,Personal,15188.0,0.0,0.0,0.0,0.0,42998,33992,17569,28803,123362,1,1,0,0.2467235065529869,0.3645032519219539,1,0.5766666666666667,17,0.0,Low,0,2.0,2,2,2
35,21,Male,350000,Self-Employed,Spencerburgh,15,64393.85,4,16,0.36,300000.0,0.13,0.0,Personal,29954.0,0.0,0.0,0.0,0.0,32269,43475,15207,20852,111803,1,1,0,0.3194362301821994,1.0269590756888334,0,0.3226666666666666,20,0.0,Low,0,0.0,2,1,3
36,34,Male,800000,Student,Christopherborough,5,2000.0,2,4,0.23,0.0,0.0,0.0,Auto,31547.0,0.0,34479.0,200000.0,1.0,48869,41177,18046,20349,128441,0,1,1,0.1605510493111883,0.4731979020314695,0,0.1913333333333333,6,234479.0,High,0,0.0,2,0,3
