customer_id,age,gender,income,occupation,city,tenure_years
1,59,Male,800000,Salaried,Danieltown,15
2,63,Female,800000,Self-Employed,Littleberg,7
3,39,Male,200000,Self-Employed,Markview,11
4,44,Male,350000,Salaried,Lake Robertstad,8
5,44,Female,800000,Salaried,Delgadoburgh,2
6,44,Male,800000,Salaried,South Laurieberg,6
7,22,Male,350000,Self-Employed,Craigmouth,1
8,32,Male,500000,Self-Employed,West John,12
9,45,Female,350000,Self-Employed,Lake Anita,10
10,48,Female,1800000,Student,Rodriguezborough,15
11,64,Male,500000,Self-Employed,Hannahberg,3
12,57,Female,500000,Student,Port Yesenia,9
13,59,Female,200000,Self-Employed,Victorfurt,14
14,29,Male,200000,Student,West Gwendolyn,2
15,40,Male,350000,Salaried,Juliashire,7
16,64,Female,500000,Salaried,Barkerhaven,15
17,55,Female,1200000,Student,Brandonborough,4
18,60,Female,800000,Salaried,East Heatherberg,6
19,62,Female,500000,Salaried,Jessicafort,18
20,46,Female,500000,Salaried,Lake Jessica,10
21,56,Female,500000,Student,Michaelfort,16
22,35,Male,200000,Salaried,Haleyside,8
23,41,Male,350000,Self-Employed,Woodville,18
24,44,Female,350000,Salaried,East Dennis,13
25,61,Male,350000,Salaried,Ruiztown,13
26,21,Female,200000,Student,East Melissa,9
27,44,Female,350000,Student,Port Emily,8
28,44,Male,200000,Student,West Harrychester,19
29,37,Female,800000,Self-Employed,North Michelle,3
30,53,Female,500000,Salaried,Port Katiefurt,10
31,59,Male,800000,Self-Employed,Jasonberg,7
32,29,Male,500000,Retired,Patriciaville,2
33,53,Female,200000,Student,Gillfort,5
34,55,Male,500000,Student,South Edwinhaven,3
35,21,Male,350000,Self-Employed,Spencerburgh,15
36,34,Male,800000,Student,Christopherborough,5
37,46,Female,350000,Student,Jonesport,14
38,59,Male,200000,Self-Employed,Danielburgh,15
39,35,Female,200000,Self-Employed,North Deborahport,13
40,52,Female,500000,Retired,Brianburgh,4
41,50,Female,200000,Self-Employed,Jonathanburgh,7
42,35,Female,800000,Self-Employed,West Sherri,4
43,33,Male,200000,Student,Lake Jacobmouth,19
44,42,Female,1200000,Retired,Robertfort,10
45,26,Female,500000,Self-Employed,Hoffmanmouth,12
46,64,Male,500000,Retired,Harttown,11
47,48,Male,350000,Salaried,Port Monica,1
48,21,Male,350000,Self-Employed,South Mary,13
49,61,Male,350000,Retired,Mullenland,6
50,28,Male,500000,Retired,Marshton,5
51,53,Female,200000,Retired,Joshuatown,12
52,44,Female,1200000,Salaried,North Joshuafurt,9
53,32,Male,350000,Student,Kellyhaven,2
54,23,Female,350000,Salaried,Jamesmouth,17
55,37,Female,350000,Retired,Sierrastad,2
56,22,Male,500000,Retired,Pattersonshire,5
57,52,Male,1200000,Student,East Craigstad,19
58,22,Male,500000,Salaried,Hannaberg,6
59,52,Female,500000,Self-Employed,Carrollland,11
60,37,Male,800000,Student,Newmanburgh,5
61,54,Male,500000,Salaried,North Stevenland,11
62,36,Female,800000,Retired,Houstonchester,6
63,36,Male,200000,Salaried,North Dawnville,4
64,39,Female,800000,Student,Kimberlyville,19
65,40,Male,500000,Salaried,North Claytontown,9
66,53,Male,350000,Salaried,Dawnmouth,7
67,38,Male,800000,Retired,East Bryanstad,11
68,48,Male,800000,Self-Employed,North Shaunberg,18
69,43,Male,500000,Retired,East Ronaldville,10
70,55,Male,350000,Student,West Carl,16
71,46,Female,1800000,Self-Employed,Kentshire,17
72,22,Male,1800000,Student,West Jeremy,12
73,25,Female,1200000,Student,East Gabrielle,9
74,61,Female,350000,Retired,South Derrickland,16
75,36,Male,1200000,Self-Employed,Matthewsburgh,1
76,44,Male,1200000,Salaried,Port Phillipland,17
77,28,Female,800000,Salaried,New Amanda,8
78,40,Male,500000,Self-Employed,Port Alexismouth,16
79,45,Male,800000,Salaried,Davischester,18
80,38,Male,500000,Self-Employed,South Alex,3
81,36,Male,1800000,Salaried,Garciafurt,4
82,53,Female,200000,Salaried,Mariaberg,14
83,41,Male,350000,Student,New Philip,8
84,27,Female,800000,Self-Employed,Jasonfurt,1
85,32,Male,500000,Retired,Teresaside,14
86,50,Male,1800000,Retired,Lake Josephbury,13
87,28,Female,500000,Self-Employed,Christopherville,2
88,41,Male,500000,Salaried,North Daniel,15
89,53,Female,350000,Student,Hodgesbury,16
90,39,Female,500000,Retired,Beardmouth,17
91,37,Female,1800000,Salaried,Lake Johnmouth,14
92,26,Male,350000,Salaried,Doughertystad,9
93,57,Female,1200000,Student,East Thomasmouth,17
94,51,Male,1800000,Self-Employed,Jasonstad,1
95,41,Male,350000,Self-Employed,Huffstad,1
96,23,Female,350000,Self-Employed,Lake Theresa,10
97,51,Female,800000,Self-Employed,Paulafurt,3
98,60,Female,200000,Retired,Lake Tonyaborough,18
99,52,Male,800000,Salaried,Kennethville,2
100,47,Female,350000,Salaried,Woodsmouth,17
101,60,Male,800000,Salaried,Angelland,11
102,59,Male,350000,Self-Employed,Port Michael,3
103,45,Male,500000,Retired,Willisside,7
104,56,Female,800000,Retired,West Josephland,1
105,28,Male,800000,Retired,Millermouth,16
106,34,Male,1200000,Self-Employed,Port Sheilafort,15
107,48,Female,500000,Salaried,South Lindsey,19
108,45,Female,350000,Student,Beltranchester,17
109,62,Female,800000,Student,North Thomas,11
110,57,Female,500000,Retired,Lake Rebeccaton,12
111,64,Male,500000,Self-Employed,South Teresa,4
112,26,Female,200000,Self-Employed,North Natalie,15
113,55,Male,500000,Salaried,Lake Kristenfurt,16
114,33,Female,1800000,Salaried,South Pattyhaven,10
115,50,Male,200000,Retired,Kingfurt,19
116,48,Male,800000,Salaried,Port Robert,5
117,46,Male,1800000,Self-Employed,Floresside,9
118,32,Male,500000,Salaried,East Mariechester,1
119,54,Male,350000,Retired,Wilsonport,16
120,45,Male,800000,Self-Employed,East James,1
121,36,Male,500000,Salaried,Patriciaberg,5
122,42,Female,800000,Student,Davidborough,3
123,32,Female,500000,Self-Employed,Clinetown,19
124,57,Female,200000,Self-Employed,North Joshuachester,14
125,48,Female,200000,Retired,Port Mackenzieshire,17
126,50,Male,1200000,Student,Jaredberg,5
127,32,Female,200000,Student,Samuelmouth,16
128,41,Male,500000,Salaried,East Miranda,1
129,50,Female,500000,Salaried,Fowlerview,10
130,25,Male,1200000,Self-Employed,South Sherryhaven,10
131,39,Female,500000,Self-Employed,Michaelmouth,1
132,25,Female,800000,Salaried,Marthaburgh,16
133,44,Male,1200000,Student,Jenniferville,2
134,48,Female,500000,Self-Employed,New Edwardstad,12
135,55,Female,500000,Student,South Joseph,1
136,63,Male,1200000,Student,Johnborough,3
137,21,Male,1800000,Self-Employed,Christopherbury,10
138,63,Female,350000,Salaried,East Brittney,13
139,32,Male,200000,Self-Employed,Lake Brendamouth,2
140,55,Female,350000,Student,South Williamton,8
141,49,Male,800000,Student,West Randy,2
142,61,Male,500000,Student,East Kimberlyhaven,18
143,31,Female,1200000,Student,Smithmouth,4
144,45,Male,800000,Salaried,Rodriguezburgh,4
145,30,Female,500000,Student,Nicholsonhaven,3
146,55,Male,500000,Salaried,Steventown,18
147,59,Female,500000,Self-Employed,Lake Laura,5
148,32,Female,500000,Self-Employed,North Jessicaside,13
149,43,Female,800000,Retired,Amyton,9
150,50,Male,1200000,Salaried,West Jessica,16
151,45,Male,350000,Self-Employed,Nicholsonton,19
152,56,Male,200000,Student,Aliciaview,9
153,39,Male,200000,Retired,Rosschester,7
154,48,Male,1800000,Salaried,West Matthewfurt,19
155,36,Female,500000,Student,Harrisland,3
156,32,Male,350000,Student,East Meghanbury,4
157,43,Male,800000,Self-Employed,Branditown,7
158,62,Male,1800000,Student,West Pamela,14
159,51,Female,200000,Self-Employed,New Cheryl,3
160,43,Male,500000,Self-Employed,Lake Heather,11
161,38,Male,1800000,Retired,North Toddfurt,9
162,30,Male,800000,Self-Employed,Lake Jacqueline,17
163,58,Female,200000,Retired,Sandrabury,13
164,60,Male,200000,Student,Cherylborough,18
165,47,Male,800000,Salaried,Lake Anthony,5
166,49,Female,200000,Salaried,South Anthonyville,19
167,28,Female,350000,Self-Employed,North Calvinshire,1
168,42,Male,800000,Retired,Rayside,7
169,45,Female,500000,Student,South Samanthamouth,4
170,26,Male,800000,Self-Employed,West Aimeestad,19
171,64,Male,500000,Self-Employed,Richardmouth,10
172,46,Female,350000,Student,Autumnbury,3
173,33,Female,500000,Salaried,Edwardview,8
174,61,Female,800000,Student,North Sydney,3
175,33,Female,350000,Student,West Troystad,17
176,45,Male,1200000,Salaried,South Mark,6
177,26,Female,800000,Self-Employed,Jonesside,13
178,52,Female,500000,Salaried,Port Brandonbury,15
179,41,Male,200000,Retired,Sharpville,11
180,57,Female,350000,Student,Mezachester,19
181,40,Female,200000,Salaried,Carrollchester,15
182,61,Female,350000,Self-Employed,Hensonside,15
183,51,Female,1800000,Salaried,Lynnside,3
184,36,Female,800000,Salaried,Jesseport,11
185,32,Male,1800000,Student,North Katherineview,16
186,28,Female,350000,Salaried,Edwardshire,8
187,48,Female,500000,Student,Nicolemouth,8
188,48,Male,200000,Student,Davisfurt,9
189,56,Female,1800000,Retired,South Barry,17
190,29,Female,350000,Retired,North Josephstad,13
191,48,Female,350000,Self-Employed,Trevinoberg,13
192,55,Male,800000,Retired,Schneiderfort,18
193,25,Female,500000,Self-Employed,Jennafort,2
194,30,Female,1200000,Retired,Hancockport,18
195,25,Male,200000,Student,North Justinton,1
196,21,Female,500000,Self-Employed,Sarahport,15
197,31,Female,500000,Student,Hannahborough,17
198,33,Female,200000,Retired,Port Michael,9
199,55,Female,200000,Self-Employed,Port Cristian,16
200,26,Female,800000,Self-Employed,Rothmouth,5
201,51,Male,800000,Student,West Rachelborough,3
202,43,Female,800000,Salaried,New Jenniferbury,5
203,30,Male,800000,Student,East Yvetteville,17
204,41,Male,500000,Self-Employed,Melissaport,14
205,21,Male,1800000,Salaried,Brownfurt,13
206,24,Male,350000,Self-Employed,Smithview,17
207,60,Female,500000,Salaried,Martinborough,8
208,59,Female,800000,Retired,Carlhaven,2
209,23,Male,500000,Retired,South Marco,12
210,21,Female,500000,Retired,North Caitlinfurt,5
211,50,Male,1200000,Self-Employed,West Lindsay,17
212,43,Male,800000,Salaried,Chapmantown,14
213,22,Female,800000,Self-Employed,New Lisaborough,7
214,58,Male,500000,Retired,Courtneyhaven,2
215,58,Male,500000,Self-Employed,South Paige,18
216,50,Male,500000,Retired,South Rogerville,19
217,54,Male,350000,Retired,Ralphview,6
218,53,Female,800000,Retired,Haleyville,10
219,37,Female,1200000,Retired,South Davidville,4
220,30,Male,1200000,Retired,New Monica,10
221,37,Female,350000,Student,South Katherine,5
222,54,Male,500000,Student,Port Taylor,2
223,33,Female,350000,Self-Employed,West Nicolemouth,11
224,31,Female,200000,Retired,Wrighttown,16
225,51,Male,500000,Student,Lake Teresaton,16
226,28,Male,350000,Student,Westborough,4
227,45,Female,1200000,Student,South Kim,3
228,47,Male,800000,Self-Employed,Piercebury,18
229,39,Male,800000,Self-Employed,New Stephanie,18
230,48,Female,350000,Self-Employed,North Aaron,6
231,21,Male,500000,Salaried,Duarteside,12
232,46,Female,1200000,Retired,Vargasland,17
233,34,Female,350000,Retired,Laurenhaven,9
234,46,Female,800000,Salaried,Lake Christopherbury,15
235,50,Male,350000,Retired,Jefferymouth,16
236,37,Female,350000,Salaried,Sharonside,1
237,28,Female,800000,Retired,Stewartland,15
238,42,Male,350000,Student,New Danielshire,14
239,44,Female,800000,Retired,Clintonfurt,14
240,27,Female,800000,Self-Employed,North Victor,14
241,63,Female,500000,Self-Employed,New Tiffany,13
242,38,Female,500000,Retired,Howardton,3
243,35,Female,200000,Salaried,South Nancyfort,5
244,48,Female,200000,Student,Everettton,17
245,59,Female,200000,Self-Employed,New Cynthia,12
246,45,Female,1200000,Self-Employed,Amberton,4
247,30,Male,800000,Retired,South Emilychester,13
248,38,Male,200000,Salaried,West Michael,15
