customer_id,month,shopping_spend,travel_spend,utility_spend,wallet_spend
1,1,4667,11131,1104,2536
1,2,1665,2917,1732,3787
1,3,8927,6024,851,1761
1,4,3895,7413,4266,4570
1,5,11716,7424,1649,6362
1,6,7388,4538,4850,69
2,1,9769,7169,4584,6468
2,2,14068,10642,628,1506
2,3,13280,1648,3667,2548
2,4,2479,9994,507,219
2,5,9916,4197,2549,3785
2,6,8657,3912,3242,770
3,1,14121,739,4795,6088
3,2,5121,10209,4697,7815
3,3,14642,7000,696,509
3,4,2995,1014,3601,922
3,5,11538,11396,2291,1555
3,6,6427,8212,2422,1064
4,1,7011,10175,2399,7107
4,2,4543,966,3006,513
4,3,4574,11307,540,6981
4,4,1262,8145,1532,3124
4,5,2819,127,3078,6083
4,6,13812,5851,3513,3211
5,1,10085,2806,2779,7076
5,2,6687,11005,2287,4732
5,3,11440,11225,2908,2179
5,4,9368,3123,521,652
5,5,4390,8974,667,1061
5,6,10064,1781,1896,631
6,1,2601,2881,1950,1863
6,2,8333,721,3836,7573
6,3,8853,242,3148,6905
6,4,5638,4372,902,6793
6,5,2453,9188,4671,6482
6,6,7908,5569,3650,6181
7,1,13605,3501,1686,1381
7,2,7813,10046,2404,3666
7,3,11140,11719,2252,1737
7,4,11005,1954,4509,5271
7,5,1537,7582,2890,1789
7,6,8930,9382,4436,1495
8,1,11379,6216,3870,1259
8,2,6826,4075,3530,4695
8,3,1096,9511,1214,2494
8,4,3746,4043,1084,6570
8,5,1953,2897,2530,7477
8,6,1593,1831,855,6170
9,1,10868,11310,611,6890
9,2,12926,4470,1344,2173
9,3,4078,10801,1883,6721
9,4,4970,361,1178,5078
9,5,3811,2822,2231,6132
9,6,10479,4895,774,5749
10,1,14624,905,2382,491
10,2,14715,7811,1040,2886
10,3,13607,6132,955,650
10,4,10504,1304,4109,803
10,5,9989,3384,2512,2840
10,6,6727,11254,1580,7290
11,1,10505,2645,4134,7395
11,2,3053,3514,809,784
11,3,6000,5121,2114,822
11,4,10519,57,1748,1449
11,5,14513,6036,1017,2077
11,6,9342,2157,4173,5149
12,1,3513,6608,2784,1394
12,2,2705,9364,2921,599
12,3,4504,2299,4515,1496
12,4,7706,11309,934,2658
12,5,12891,2323,3395,1531
12,6,12358,781,1925,4928
13,1,3551,11678,2823,4421
13,2,8423,556,1012,3218
13,3,7438,6518,4651,5007
13,4,7093,11733,3399,6734
13,5,6016,6509,4596,2960
13,6,5943,9444,1224,1306
14,1,1759,5238,726,7191
14,2,5797,8499,3878,3009
14,3,7712,9709,2031,7478
14,4,11036,5208,3168,4748
14,5,9988,7045,2279,4992
14,6,8063,585,1878,4357
15,1,14487,5707,4310,4031
15,2,11916,7442,2347,2237
15,3,2041,4839,3985,7351
15,4,8785,242,2600,1249
15,5,2737,11861,2418,6915
15,6,13606,2754,1892,247
16,1,8735,7643,2185,1931
16,2,5016,3432,4884,4526
16,3,14650,7784,4484,3822
16,4,3081,9539,632,7647
16,5,12815,1854,3444,6050
16,6,6077,5340,900,605
17,1,13898,131,4988,4908
17,2,8071,6157,4940,803
17,3,12459,5192,4789,5033
17,4,4633,2676,1715,2477
17,5,3264,7790,1469,6628
17,6,1600,4455,1832,2716
18,1,13708,781,4308,1434
18,2,5338,9208,2719,2702
18,3,13098,11008,4491,459
18,4,8532,7245,4140,5609
18,5,1531,1977,3777,5868
18,6,4764,290,4075,4754
19,1,5649,10667,1012,6467
19,2,2639,8446,3137,1965
19,3,1050,799,599,1747
19,4,11703,6642,736,7974
