customer_id,age,gender,income,occupation,city,tenure_years,avg_balance,monthly_deposits,monthly_withdrawals,digital_txn_ratio,card_limit,utilization_ratio,delinquency_12m,loan_type,monthly_emi,overdue_flag,mf_investment,fd_amount,insurance_policy,shopping_spend,travel_spend,utility_spend,wallet_spend,total_spend_6m,has_credit_card,has_loan,has_investments
1,59,Male,800000,Salaried,Danieltown,15,92515.92,1,9,0.57,200000.0,0.85,0.0,0,0.0,0.0,0.0,0.0,0.0,38258,39447,14452,19085,111242,1,0,0
2,63,Female,800000,Self-Employed,Littleberg,7,138097.4,13,16,0.48,50000.0,0.3,0.0,Auto,4186.0,0.0,19949.0,100000.0,1.0,58169,37562,15177,15296,126204,1,1,1
3,39,Male,200000,Self-Employed,Markview,11,124329.4,14,8,0.24,300000.0,0.76,0.0,Home,28373.0,0.0,0.0,0.0,0.0,54844,38570,18502,17953,129869,1,1,0
4,44,Male,350000,Salaried,Lake Robertstad,8,156819.94,4,19,0.64,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34021,36571,14068,27019,111679,0,0,0
5,44,Female,800000,Salaried,Delgadoburgh,2,93515.51,9,13,0.49,300000.0,0.21,0.0,Home,13738.0,0.0,93258.0,100000.0,1.0,52034,38914,11058,16331,118337,1,1,1
6,44,Male,800000,Salaried,South Laurieberg,6,174745.37,12,14,0.56,300000.0,0.93,0.0,0,0.0,0.0,0.0,0.0,0.0,35786,22973,18157,35797,112713,1,0,0
7,22,Male,350000,Self-Employed,Craigmouth,1,95855.29,2,19,0.34,0.0,0.0,0.0,Auto,29812.0,0.0,0.0,0.0,0.0,54030,44184,18177,15339,131730,0,1,0
8,32,Male,500000,Self-Employed,West John,12,77579.97,6,16,0.92,200000.0,0.26,0.0,Personal,11327.0,0.0,0.0,0.0,0.0,26593,28573,13083,28665,96914,1,1,0
9,45,Female,350000,Self-Employed,Lake Anita,10,122198.78,11,8,0.34,0.0,0.0,0.0,Home,28938.0,1.0,0.0,0.0,0.0,47132,34659,8021,32743,122555,0,1,0
10,48,Female,1800000,Student,Rodriguezborough,15,72660.6,11,8,0.51,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70166,30790,12578,14960,128494,0,0,0
11,64,Male,500000,Self-Employed,Hannahberg,3,130218.55,5,19,0.73,200000.0,0.79,0.0,Auto,39171.0,0.0,121350.0,50000.0,1.0,53932,19530,13995,17676,105133,1,1,1
12,57,Female,500000,Student,Port Yesenia,9,58761.29,14,16,0.74,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43677,32684,16474,12606,105441,0,0,0
13,59,Female,200000,Self-Employed,Victorfurt,14,96541.64,3,18,0.68,300000.0,0.85,0.0,0,0.0,0.0,85085.0,200000.0,1.0,38464,46438,17705,23646,126253,1,0,1
14,29,Male,200000,Student,West Gwendolyn,2,60176.97,9,12,0.21,100000.0,0.21,0.0,Personal,10419.0,0.0,0.0,0.0,0.0,44355,36284,13960,31775,126374,1,1,0
15,40,Male,350000,Salaried,Juliashire,7,159011.34,12,6,0.4,300000.0,0.92,0.0,0,0.0,0.0,0.0,0.0,0.0,53572,32845,17552,22030,125999,1,0,0
